"";"Survived";"Pclass";"Sex";"Age";"Family";"Embarked";"rango_edad"
"446";"1";"1";"male";4;"Yes";"S";"0-9"
"447";"1";"2";"female";13;"Yes";"S";"10-19"
"448";"1";"1";"male";34;"No";"S";"30-39"
"449";"1";"3";"female";5;"Yes";"C";"0-9"
"450";"1";"1";"male";52;"No";"S";"50-59"
"451";"0";"2";"male";36;"Yes";"S";"30-39"
"452";"0";"3";"male";29,6991176470588;"Yes";"S";"20-29"
"453";"0";"1";"male";30;"No";"C";"20-29"
"454";"1";"1";"male";49;"Yes";"C";"40-49"
"455";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"456";"1";"3";"male";29;"No";"C";"20-29"
"457";"0";"1";"male";65;"No";"S";"60-69"
"458";"1";"1";"female";29,6991176470588;"Yes";"S";"20-29"
"459";"1";"2";"female";50;"No";"S";"40-49"
"460";"0";"3";"male";29,6991176470588;"No";"Q";"20-29"
"461";"1";"1";"male";48;"No";"S";"40-49"
"462";"0";"3";"male";34;"No";"S";"30-39"
"463";"0";"1";"male";47;"No";"S";"40-49"
"464";"0";"2";"male";48;"No";"S";"40-49"
"465";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"466";"0";"3";"male";38;"No";"S";"30-39"
"467";"0";"2";"male";29,6991176470588;"No";"S";"20-29"
"468";"0";"1";"male";56;"No";"S";"50-59"
"469";"0";"3";"male";29,6991176470588;"No";"Q";"20-29"
"470";"1";"3";"female";0,75;"Yes";"C";"0-9"
"471";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"472";"0";"3";"male";38;"No";"S";"30-39"
"473";"1";"2";"female";33;"Yes";"S";"30-39"
"474";"1";"2";"female";23;"No";"C";"20-29"
"475";"0";"3";"female";22;"No";"S";"20-29"
"476";"0";"1";"male";29,6991176470588;"No";"S";"20-29"
"477";"0";"2";"male";34;"Yes";"S";"30-39"
"478";"0";"3";"male";29;"Yes";"S";"20-29"
"479";"0";"3";"male";22;"No";"S";"20-29"
"480";"1";"3";"female";2;"Yes";"S";"0-9"
"481";"0";"3";"male";9;"Yes";"S";"0-9"
"482";"0";"2";"male";29,6991176470588;"No";"S";"20-29"
"483";"0";"3";"male";50;"No";"S";"40-49"
"484";"1";"3";"female";63;"No";"S";"60-69"
"485";"1";"1";"male";25;"Yes";"C";"20-29"
"486";"0";"3";"female";29,6991176470588;"Yes";"S";"20-29"
"487";"1";"1";"female";35;"Yes";"S";"30-39"
"488";"0";"1";"male";58;"No";"C";"50-59"
"489";"0";"3";"male";30;"No";"S";"20-29"
"490";"1";"3";"male";9;"Yes";"S";"0-9"
"491";"0";"3";"male";29,6991176470588;"Yes";"S";"20-29"
"492";"0";"3";"male";21;"No";"S";"20-29"
"493";"0";"1";"male";55;"No";"S";"50-59"
"494";"0";"1";"male";71;"No";"C";"70-79"
"495";"0";"3";"male";21;"No";"S";"20-29"
"496";"0";"3";"male";29,6991176470588;"No";"C";"20-29"
"497";"1";"1";"female";54;"Yes";"C";"50-59"
"498";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"499";"0";"1";"female";25;"Yes";"S";"20-29"
"500";"0";"3";"male";24;"No";"S";"20-29"
"501";"0";"3";"male";17;"No";"S";"10-19"
"502";"0";"3";"female";21;"No";"Q";"20-29"
"503";"0";"3";"female";29,6991176470588;"No";"Q";"20-29"
"504";"0";"3";"female";37;"No";"S";"30-39"
"505";"1";"1";"female";16;"No";"S";"10-19"
"506";"0";"1";"male";18;"Yes";"C";"10-19"
"507";"1";"2";"female";33;"Yes";"S";"30-39"
"508";"1";"1";"male";29,6991176470588;"No";"S";"20-29"
"509";"0";"3";"male";28;"No";"S";"20-29"
"510";"1";"3";"male";26;"No";"S";"20-29"
"511";"1";"3";"male";29;"No";"Q";"20-29"
"512";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"513";"1";"1";"male";36;"No";"S";"30-39"
"514";"1";"1";"female";54;"Yes";"C";"50-59"
"515";"0";"3";"male";24;"No";"S";"20-29"
"516";"0";"1";"male";47;"No";"S";"40-49"
"517";"1";"2";"female";34;"No";"S";"30-39"
"518";"0";"3";"male";29,6991176470588;"No";"Q";"20-29"
"519";"1";"2";"female";36;"Yes";"S";"30-39"
"520";"0";"3";"male";32;"No";"S";"30-39"
"521";"1";"1";"female";30;"No";"S";"20-29"
"522";"0";"3";"male";22;"No";"S";"20-29"
"523";"0";"3";"male";29,6991176470588;"No";"C";"20-29"
"524";"1";"1";"female";44;"Yes";"C";"40-49"
"525";"0";"3";"male";29,6991176470588;"No";"C";"20-29"
"526";"0";"3";"male";40,5;"No";"Q";"40-49"
"527";"1";"2";"female";50;"No";"S";"40-49"
"528";"0";"1";"male";29,6991176470588;"No";"S";"20-29"
"529";"0";"3";"male";39;"No";"S";"30-39"
"530";"0";"2";"male";23;"Yes";"S";"20-29"
"531";"1";"2";"female";2;"Yes";"S";"0-9"
"532";"0";"3";"male";29,6991176470588;"No";"C";"20-29"
"533";"0";"3";"male";17;"Yes";"C";"10-19"
"534";"1";"3";"female";29,6991176470588;"Yes";"C";"20-29"
"535";"0";"3";"female";30;"No";"S";"20-29"
"536";"1";"2";"female";7;"Yes";"S";"0-9"
"537";"0";"1";"male";45;"No";"S";"40-49"
"538";"1";"1";"female";30;"No";"C";"20-29"
"539";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"540";"1";"1";"female";22;"Yes";"C";"20-29"
"541";"1";"1";"female";36;"Yes";"S";"30-39"
"542";"0";"3";"female";9;"Yes";"S";"0-9"
"543";"0";"3";"female";11;"Yes";"S";"10-19"
"544";"1";"2";"male";32;"Yes";"S";"30-39"
"545";"0";"1";"male";50;"Yes";"C";"40-49"
"546";"0";"1";"male";64;"No";"S";"60-69"
"547";"1";"2";"female";19;"Yes";"S";"10-19"
"548";"1";"2";"male";29,6991176470588;"No";"C";"20-29"
"549";"0";"3";"male";33;"Yes";"S";"30-39"
"550";"1";"2";"male";8;"Yes";"S";"0-9"
"551";"1";"1";"male";17;"Yes";"C";"10-19"
"552";"0";"2";"male";27;"No";"S";"20-29"
"553";"0";"3";"male";29,6991176470588;"No";"Q";"20-29"
"554";"1";"3";"male";22;"No";"C";"20-29"
"555";"1";"3";"female";22;"No";"S";"20-29"
"556";"0";"1";"male";62;"No";"S";"60-69"
"557";"1";"1";"female";48;"Yes";"C";"40-49"
"558";"0";"1";"male";29,6991176470588;"No";"C";"20-29"
"559";"1";"1";"female";39;"Yes";"S";"30-39"
"560";"1";"3";"female";36;"Yes";"S";"30-39"
"561";"0";"3";"male";29,6991176470588;"No";"Q";"20-29"
"562";"0";"3";"male";40;"No";"S";"30-39"
"563";"0";"2";"male";28;"No";"S";"20-29"
"564";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"565";"0";"3";"female";29,6991176470588;"No";"S";"20-29"
"566";"0";"3";"male";24;"Yes";"S";"20-29"
"567";"0";"3";"male";19;"No";"S";"10-19"
"568";"0";"3";"female";29;"Yes";"S";"20-29"
"569";"0";"3";"male";29,6991176470588;"No";"C";"20-29"
"570";"1";"3";"male";32;"No";"S";"30-39"
"571";"1";"2";"male";62;"No";"S";"60-69"
"572";"1";"1";"female";53;"Yes";"S";"50-59"
"573";"1";"1";"male";36;"No";"S";"30-39"
"574";"1";"3";"female";29,6991176470588;"No";"Q";"20-29"
"575";"0";"3";"male";16;"No";"S";"10-19"
"576";"0";"3";"male";19;"No";"S";"10-19"
"577";"1";"2";"female";34;"No";"S";"30-39"
"578";"1";"1";"female";39;"Yes";"S";"30-39"
"579";"0";"3";"female";29,6991176470588;"Yes";"C";"20-29"
"580";"1";"3";"male";32;"No";"S";"30-39"
"581";"1";"2";"female";25;"Yes";"S";"20-29"
"582";"1";"1";"female";39;"Yes";"C";"30-39"
"583";"0";"2";"male";54;"No";"S";"50-59"
"584";"0";"1";"male";36;"No";"C";"30-39"
"585";"0";"3";"male";29,6991176470588;"No";"C";"20-29"
"586";"1";"1";"female";18;"Yes";"S";"10-19"
"587";"0";"2";"male";47;"No";"S";"40-49"
"588";"1";"1";"male";60;"Yes";"C";"50-59"
"589";"0";"3";"male";22;"No";"S";"20-29"
"590";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"591";"0";"3";"male";35;"No";"S";"30-39"
"592";"1";"1";"female";52;"Yes";"C";"50-59"
"593";"0";"3";"male";47;"No";"S";"40-49"
"594";"0";"3";"female";29,6991176470588;"Yes";"Q";"20-29"
"595";"0";"2";"male";37;"Yes";"S";"30-39"
"596";"0";"3";"male";36;"Yes";"S";"30-39"
"597";"1";"2";"female";29,6991176470588;"No";"S";"20-29"
"598";"0";"3";"male";49;"No";"S";"40-49"
"599";"0";"3";"male";29,6991176470588;"No";"C";"20-29"
"600";"1";"1";"male";49;"Yes";"C";"40-49"
"601";"1";"2";"female";24;"Yes";"S";"20-29"
"602";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"603";"0";"1";"male";29,6991176470588;"No";"S";"20-29"
"604";"0";"3";"male";44;"No";"S";"40-49"
"605";"1";"1";"male";35;"No";"C";"30-39"
"606";"0";"3";"male";36;"Yes";"S";"30-39"
"607";"0";"3";"male";30;"No";"S";"20-29"
"608";"1";"1";"male";27;"No";"S";"20-29"
"609";"1";"2";"female";22;"Yes";"C";"20-29"
"610";"1";"1";"female";40;"No";"S";"30-39"
"611";"0";"3";"female";39;"Yes";"S";"30-39"
"612";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"613";"1";"3";"female";29,6991176470588;"Yes";"Q";"20-29"
"614";"0";"3";"male";29,6991176470588;"No";"Q";"20-29"
"615";"0";"3";"male";35;"No";"S";"30-39"
"616";"1";"2";"female";24;"Yes";"S";"20-29"
"617";"0";"3";"male";34;"Yes";"S";"30-39"
"618";"0";"3";"female";26;"Yes";"S";"20-29"
"619";"1";"2";"female";4;"Yes";"S";"0-9"
"620";"0";"2";"male";26;"No";"S";"20-29"
"621";"0";"3";"male";27;"Yes";"C";"20-29"
"622";"1";"1";"male";42;"Yes";"S";"40-49"
"623";"1";"3";"male";20;"Yes";"C";"10-19"
"624";"0";"3";"male";21;"No";"S";"20-29"
"625";"0";"3";"male";21;"No";"S";"20-29"
"626";"0";"1";"male";61;"No";"S";"60-69"
"627";"0";"2";"male";57;"No";"Q";"50-59"
"628";"1";"1";"female";21;"No";"S";"20-29"
"629";"0";"3";"male";26;"No";"S";"20-29"
"630";"0";"3";"male";29,6991176470588;"No";"Q";"20-29"
"631";"1";"1";"male";80;"No";"S";"70-79"
"632";"0";"3";"male";51;"No";"S";"50-59"
"633";"1";"1";"male";32;"No";"C";"30-39"
"634";"0";"1";"male";29,6991176470588;"No";"S";"20-29"
"635";"0";"3";"female";9;"Yes";"S";"0-9"
"636";"1";"2";"female";28;"No";"S";"20-29"
"637";"0";"3";"male";32;"No";"S";"30-39"
"638";"0";"2";"male";31;"Yes";"S";"30-39"
"639";"0";"3";"female";41;"Yes";"S";"40-49"
"640";"0";"3";"male";29,6991176470588;"Yes";"S";"20-29"
"641";"0";"3";"male";20;"No";"S";"10-19"
"642";"1";"1";"female";24;"No";"C";"20-29"
"643";"0";"3";"female";2;"Yes";"S";"0-9"
"644";"1";"3";"male";29,6991176470588;"No";"S";"20-29"
"645";"1";"3";"female";0,75;"Yes";"C";"0-9"
"646";"1";"1";"male";48;"Yes";"C";"40-49"
"647";"0";"3";"male";19;"No";"S";"10-19"
"648";"1";"1";"male";56;"No";"C";"50-59"
"649";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"650";"1";"3";"female";23;"No";"S";"20-29"
"651";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"652";"1";"2";"female";18;"Yes";"S";"10-19"
"653";"0";"3";"male";21;"No";"S";"20-29"
"654";"1";"3";"female";29,6991176470588;"No";"Q";"20-29"
"655";"0";"3";"female";18;"No";"Q";"10-19"
"656";"0";"2";"male";24;"Yes";"S";"20-29"
"657";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"658";"0";"3";"female";32;"Yes";"Q";"30-39"
"659";"0";"2";"male";23;"No";"S";"20-29"
"660";"0";"1";"male";58;"Yes";"C";"50-59"
"661";"1";"1";"male";50;"Yes";"S";"40-49"
"662";"0";"3";"male";40;"No";"C";"30-39"
"663";"0";"1";"male";47;"No";"S";"40-49"
"664";"0";"3";"male";36;"No";"S";"30-39"
"665";"1";"3";"male";20;"Yes";"S";"10-19"
"666";"0";"2";"male";32;"Yes";"S";"30-39"
"667";"0";"2";"male";25;"No";"S";"20-29"
"668";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"669";"0";"3";"male";43;"No";"S";"40-49"
"670";"1";"1";"female";29,6991176470588;"Yes";"S";"20-29"
"671";"1";"2";"female";40;"Yes";"S";"30-39"
"672";"0";"1";"male";31;"Yes";"S";"30-39"
"673";"0";"2";"male";70;"No";"S";"60-69"
"674";"1";"2";"male";31;"No";"S";"30-39"
"675";"0";"2";"male";29,6991176470588;"No";"S";"20-29"
"676";"0";"3";"male";18;"No";"S";"10-19"
"677";"0";"3";"male";24,5;"No";"S";"20-29"
"678";"1";"3";"female";18;"No";"S";"10-19"
"679";"0";"3";"female";43;"Yes";"S";"40-49"
"680";"1";"1";"male";36;"Yes";"C";"30-39"
"681";"0";"3";"female";29,6991176470588;"No";"Q";"20-29"
"682";"1";"1";"male";27;"No";"C";"20-29"
"683";"0";"3";"male";20;"No";"S";"10-19"
"684";"0";"3";"male";14;"Yes";"S";"10-19"
"685";"0";"2";"male";60;"Yes";"S";"50-59"
"686";"0";"2";"male";25;"Yes";"C";"20-29"
"687";"0";"3";"male";14;"Yes";"S";"10-19"
"688";"0";"3";"male";19;"No";"S";"10-19"
"689";"0";"3";"male";18;"No";"S";"10-19"
"690";"1";"1";"female";15;"Yes";"S";"10-19"
"691";"1";"1";"male";31;"Yes";"S";"30-39"
"692";"1";"3";"female";4;"Yes";"C";"0-9"
"693";"1";"3";"male";29,6991176470588;"No";"S";"20-29"
"694";"0";"3";"male";25;"No";"C";"20-29"
"695";"0";"1";"male";60;"No";"S";"50-59"
"696";"0";"2";"male";52;"No";"S";"50-59"
"697";"0";"3";"male";44;"No";"S";"40-49"
"698";"1";"3";"female";29,6991176470588;"No";"Q";"20-29"
"699";"0";"1";"male";49;"Yes";"C";"40-49"
"700";"0";"3";"male";42;"No";"S";"40-49"
"701";"1";"1";"female";18;"Yes";"C";"10-19"
"702";"1";"1";"male";35;"No";"S";"30-39"
"703";"0";"3";"female";18;"Yes";"C";"10-19"
"704";"0";"3";"male";25;"No";"Q";"20-29"
"705";"0";"3";"male";26;"Yes";"S";"20-29"
"706";"0";"2";"male";39;"No";"S";"30-39"
"707";"1";"2";"female";45;"No";"S";"40-49"
"708";"1";"1";"male";42;"No";"S";"40-49"
"709";"1";"1";"female";22;"No";"S";"20-29"
"710";"1";"3";"male";29,6991176470588;"Yes";"C";"20-29"
"711";"1";"1";"female";24;"No";"C";"20-29"
"712";"0";"1";"male";29,6991176470588;"No";"S";"20-29"
"713";"1";"1";"male";48;"Yes";"S";"40-49"
"714";"0";"3";"male";29;"No";"S";"20-29"
"715";"0";"2";"male";52;"No";"S";"50-59"
"716";"0";"3";"male";19;"No";"S";"10-19"
"717";"1";"1";"female";38;"No";"C";"30-39"
"718";"1";"2";"female";27;"No";"S";"20-29"
"719";"0";"3";"male";29,6991176470588;"No";"Q";"20-29"
"720";"0";"3";"male";33;"No";"S";"30-39"
"721";"1";"2";"female";6;"Yes";"S";"0-9"
"722";"0";"3";"male";17;"Yes";"S";"10-19"
"723";"0";"2";"male";34;"No";"S";"30-39"
"724";"0";"2";"male";50;"No";"S";"40-49"
"725";"1";"1";"male";27;"Yes";"S";"20-29"
"726";"0";"3";"male";20;"No";"S";"10-19"
"727";"1";"2";"female";30;"Yes";"S";"20-29"
"728";"1";"3";"female";29,6991176470588;"No";"Q";"20-29"
"729";"0";"2";"male";25;"Yes";"S";"20-29"
"730";"0";"3";"female";25;"Yes";"S";"20-29"
"731";"1";"1";"female";29;"No";"S";"20-29"
"732";"0";"3";"male";11;"No";"C";"10-19"
"733";"0";"2";"male";29,6991176470588;"No";"S";"20-29"
"734";"0";"2";"male";23;"No";"S";"20-29"
"735";"0";"2";"male";23;"No";"S";"20-29"
"736";"0";"3";"male";28,5;"No";"S";"20-29"
"737";"0";"3";"female";48;"Yes";"S";"40-49"
"738";"1";"1";"male";35;"No";"C";"30-39"
"739";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"740";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"741";"1";"1";"male";29,6991176470588;"No";"S";"20-29"
"742";"0";"1";"male";36;"Yes";"S";"30-39"
"743";"1";"1";"female";21;"Yes";"C";"20-29"
"744";"0";"3";"male";24;"Yes";"S";"20-29"
"745";"1";"3";"male";31;"No";"S";"30-39"
"746";"0";"1";"male";70;"Yes";"S";"60-69"
"747";"0";"3";"male";16;"Yes";"S";"10-19"
"748";"1";"2";"female";30;"No";"S";"20-29"
"749";"0";"1";"male";19;"Yes";"S";"10-19"
"750";"0";"3";"male";31;"No";"Q";"30-39"
"751";"1";"2";"female";4;"Yes";"S";"0-9"
"752";"1";"3";"male";6;"Yes";"S";"0-9"
"753";"0";"3";"male";33;"No";"S";"30-39"
"754";"0";"3";"male";23;"No";"S";"20-29"
"755";"1";"2";"female";48;"Yes";"S";"40-49"
"756";"1";"2";"male";0,67;"Yes";"S";"0-9"
"757";"0";"3";"male";28;"No";"S";"20-29"
"758";"0";"2";"male";18;"No";"S";"10-19"
"759";"0";"3";"male";34;"No";"S";"30-39"
"760";"1";"1";"female";33;"No";"S";"30-39"
"761";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"762";"0";"3";"male";41;"No";"S";"40-49"
"763";"1";"3";"male";20;"No";"C";"10-19"
"764";"1";"1";"female";36;"Yes";"S";"30-39"
"765";"0";"3";"male";16;"No";"S";"10-19"
"766";"1";"1";"female";51;"Yes";"S";"50-59"
"767";"0";"1";"male";29,6991176470588;"No";"C";"20-29"
"768";"0";"3";"female";30,5;"No";"Q";"30-39"
"769";"0";"3";"male";29,6991176470588;"Yes";"Q";"20-29"
"770";"0";"3";"male";32;"No";"S";"30-39"
"771";"0";"3";"male";24;"No";"S";"20-29"
"772";"0";"3";"male";48;"No";"S";"40-49"
"773";"0";"2";"female";57;"No";"S";"50-59"
"774";"0";"3";"male";29,6991176470588;"No";"C";"20-29"
"775";"1";"2";"female";54;"Yes";"S";"50-59"
"776";"0";"3";"male";18;"No";"S";"10-19"
"777";"0";"3";"male";29,6991176470588;"No";"Q";"20-29"
"778";"1";"3";"female";5;"No";"S";"0-9"
"779";"0";"3";"male";29,6991176470588;"No";"Q";"20-29"
"780";"1";"1";"female";43;"Yes";"S";"40-49"
"781";"1";"3";"female";13;"No";"C";"10-19"
"782";"1";"1";"female";17;"Yes";"S";"10-19"
"783";"0";"1";"male";29;"No";"S";"20-29"
"784";"0";"3";"male";29,6991176470588;"Yes";"S";"20-29"
"785";"0";"3";"male";25;"No";"S";"20-29"
"786";"0";"3";"male";25;"No";"S";"20-29"
"787";"1";"3";"female";18;"No";"S";"10-19"
"788";"0";"3";"male";8;"Yes";"Q";"0-9"
"789";"1";"3";"male";1;"Yes";"S";"0-9"
"790";"0";"1";"male";46;"No";"C";"40-49"
"791";"0";"3";"male";29,6991176470588;"No";"Q";"20-29"
"792";"0";"2";"male";16;"No";"S";"10-19"
"793";"0";"3";"female";29,6991176470588;"Yes";"S";"20-29"
"794";"0";"1";"male";29,6991176470588;"No";"C";"20-29"
"795";"0";"3";"male";25;"No";"S";"20-29"
"796";"0";"2";"male";39;"No";"S";"30-39"
"797";"1";"1";"female";49;"No";"S";"40-49"
"798";"1";"3";"female";31;"No";"S";"30-39"
"799";"0";"3";"male";30;"No";"C";"20-29"
"800";"0";"3";"female";30;"Yes";"S";"20-29"
"801";"0";"2";"male";34;"No";"S";"30-39"
"802";"1";"2";"female";31;"Yes";"S";"30-39"
"803";"1";"1";"male";11;"Yes";"S";"10-19"
"804";"1";"3";"male";0,42;"Yes";"C";"0-9"
"805";"1";"3";"male";27;"No";"S";"20-29"
"806";"0";"3";"male";31;"No";"S";"30-39"
"807";"0";"1";"male";39;"No";"S";"30-39"
"808";"0";"3";"female";18;"No";"S";"10-19"
"809";"0";"2";"male";39;"No";"S";"30-39"
"810";"1";"1";"female";33;"Yes";"S";"30-39"
"811";"0";"3";"male";26;"No";"S";"20-29"
"812";"0";"3";"male";39;"No";"S";"30-39"
"813";"0";"2";"male";35;"No";"S";"30-39"
"814";"0";"3";"female";6;"Yes";"S";"0-9"
"815";"0";"3";"male";30,5;"No";"S";"30-39"
"816";"0";"1";"male";29,6991176470588;"No";"S";"20-29"
"817";"0";"3";"female";23;"No";"S";"20-29"
"818";"0";"2";"male";31;"Yes";"C";"30-39"
"819";"0";"3";"male";43;"No";"S";"40-49"
"820";"0";"3";"male";10;"Yes";"S";"0-9"
"821";"1";"1";"female";52;"Yes";"S";"50-59"
"822";"1";"3";"male";27;"No";"S";"20-29"
"823";"0";"1";"male";38;"No";"S";"30-39"
"824";"1";"3";"female";27;"Yes";"S";"20-29"
"825";"0";"3";"male";2;"Yes";"S";"0-9"
"826";"0";"3";"male";29,6991176470588;"No";"Q";"20-29"
"827";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"828";"1";"2";"male";1;"Yes";"C";"0-9"
"829";"1";"3";"male";29,6991176470588;"No";"Q";"20-29"
"830";"1";"1";"female";62;"No";"";"60-69"
"831";"1";"3";"female";15;"Yes";"C";"10-19"
"832";"1";"2";"male";0,83;"Yes";"S";"0-9"
"833";"0";"3";"male";29,6991176470588;"No";"C";"20-29"
"834";"0";"3";"male";23;"No";"S";"20-29"
"835";"0";"3";"male";18;"No";"S";"10-19"
"836";"1";"1";"female";39;"Yes";"C";"30-39"
"837";"0";"3";"male";21;"No";"S";"20-29"
"838";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"839";"1";"3";"male";32;"No";"S";"30-39"
"840";"1";"1";"male";29,6991176470588;"No";"C";"20-29"
"841";"0";"3";"male";20;"No";"S";"10-19"
"842";"0";"2";"male";16;"No";"S";"10-19"
"843";"1";"1";"female";30;"No";"C";"20-29"
"844";"0";"3";"male";34,5;"No";"C";"30-39"
"845";"0";"3";"male";17;"No";"S";"10-19"
"846";"0";"3";"male";42;"No";"S";"40-49"
"847";"0";"3";"male";29,6991176470588;"Yes";"S";"20-29"
"848";"0";"3";"male";35;"No";"C";"30-39"
"849";"0";"2";"male";28;"Yes";"S";"20-29"
"850";"1";"1";"female";29,6991176470588;"Yes";"C";"20-29"
"851";"0";"3";"male";4;"Yes";"S";"0-9"
"852";"0";"3";"male";74;"No";"S";"70-79"
"853";"0";"3";"female";9;"Yes";"C";"0-9"
"854";"1";"1";"female";16;"Yes";"S";"10-19"
"855";"0";"2";"female";44;"Yes";"S";"40-49"
"856";"1";"3";"female";18;"Yes";"S";"10-19"
"857";"1";"1";"female";45;"Yes";"S";"40-49"
"858";"1";"1";"male";51;"No";"S";"50-59"
"859";"1";"3";"female";24;"Yes";"C";"20-29"
"860";"0";"3";"male";29,6991176470588;"No";"C";"20-29"
"861";"0";"3";"male";41;"Yes";"S";"40-49"
"862";"0";"2";"male";21;"Yes";"S";"20-29"
"863";"1";"1";"female";48;"No";"S";"40-49"
"864";"0";"3";"female";29,6991176470588;"Yes";"S";"20-29"
"865";"0";"2";"male";24;"No";"S";"20-29"
"866";"1";"2";"female";42;"No";"S";"40-49"
"867";"1";"2";"female";27;"Yes";"C";"20-29"
"868";"0";"1";"male";31;"No";"S";"30-39"
"869";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"870";"1";"3";"male";4;"Yes";"S";"0-9"
"871";"0";"3";"male";26;"No";"S";"20-29"
"872";"1";"1";"female";47;"Yes";"S";"40-49"
"873";"0";"1";"male";33;"No";"S";"30-39"
"874";"0";"3";"male";47;"No";"S";"40-49"
"875";"1";"2";"female";28;"Yes";"C";"20-29"
"876";"1";"3";"female";15;"No";"C";"10-19"
"877";"0";"3";"male";20;"No";"S";"10-19"
"878";"0";"3";"male";19;"No";"S";"10-19"
"879";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"880";"1";"1";"female";56;"Yes";"C";"50-59"
"881";"1";"2";"female";25;"Yes";"S";"20-29"
"882";"0";"3";"male";33;"No";"S";"30-39"
"883";"0";"3";"female";22;"No";"S";"20-29"
"884";"0";"2";"male";28;"No";"S";"20-29"
"885";"0";"3";"male";25;"No";"S";"20-29"
"886";"0";"3";"female";39;"Yes";"Q";"30-39"
"887";"0";"2";"male";27;"No";"S";"20-29"
"888";"1";"1";"female";19;"No";"S";"10-19"
"889";"0";"3";"female";29,6991176470588;"Yes";"S";"20-29"
"890";"1";"1";"male";26;"No";"C";"20-29"
"891";"0";"3";"male";32;"No";"Q";"30-39"
